iter	Accuracy	MultiClass
284	0.8563410194	0.3407303879
285	0.8562904531	0.340516191
286	0.8563915858	0.3403342211
287	0.8563915858	0.3401097306
288	0.8568972492	0.3398444869
289	0.8568466828	0.3396320448
290	0.8568466828	0.3394471182
291	0.8567455502	0.3392760574
292	0.8568972492	0.3390489712
293	0.8571500809	0.3388091342
294	0.8572006472	0.3385775458
295	0.8572512136	0.3384292764
296	0.8573523463	0.338209564
297	0.8573523463	0.3380359978
298	0.857605178	0.3378275076
299	0.857605178	0.3376229135
300	0.8578074434	0.3374180157
301	0.8579085761	0.3372743492
302	0.8579085761	0.3370944348
303	0.8580097087	0.3368901778
304	0.8580602751	0.3367503744
305	0.8580602751	0.3365462725
306	0.8583636731	0.336375474
307	0.8585153722	0.3362486587
308	0.8585153722	0.3361033989
309	0.8586165049	0.3359520786
310	0.8586670712	0.3357890361
311	0.8588693366	0.3355955668
312	0.8589704693	0.3354449708
313	0.8590210356	0.3352811787
314	0.8590210356	0.3350134414
315	0.8591727346	0.3348704159
316	0.8591727346	0.334713623
317	0.8591727346	0.3344947129
318	0.8593244337	0.3342880818
319	0.859375	0.3340312595
320	0.8595772654	0.3337900272
321	0.859526699	0.3335624157
322	0.8597795307	0.3333653123
323	0.8598806634	0.3331716621
324	0.8599312298	0.3329655881
325	0.8601334951	0.3327883209
326	0.8600323625	0.3325961555
327	0.8601840615	0.3324099609
328	0.8604874595	0.3321938309
329	0.8605885922	0.3319514322
330	0.8606391586	0.3318188177
331	0.8607908576	0.3316762137
332	0.8606897249	0.3315708273
333	0.8605885922	0.3313918839
334	0.8607908576	0.3312346772
335	0.8607908576	0.3310832287
336	0.8609425566	0.3308420801
337	0.861144822	0.3306341525
338	0.861144822	0.3304931877
