iter	Passed	Remaining
450	1084	2521
451	1086	2519
452	1088	2516
453	1090	2513
454	1093	2510
455	1095	2507
456	1097	2504
457	1099	2501
458	1101	2499
459	1104	2496
460	1106	2493
461	1108	2490
462	1110	2488
463	1113	2485
464	1115	2483
465	1117	2480
466	1120	2477
467	1122	2475
468	1124	2472
469	1126	2469
470	1129	2466
471	1131	2464
472	1133	2461
473	1136	2459
474	1138	2456
475	1140	2453
476	1142	2451
477	1145	2448
478	1147	2446
479	1149	2443
480	1152	2440
481	1154	2437
482	1156	2435
483	1158	2432
484	1161	2430
485	1163	2427
486	1165	2424
487	1167	2422
488	1169	2418
489	1172	2415
490	1174	2412
491	1176	2410
492	1178	2407
493	1180	2404
494	1183	2402
495	1185	2399
496	1187	2397
497	1189	2394
498	1192	2391
499	1194	2388
500	1197	2387
501	1200	2386
502	1203	2386
503	1206	2384
504	1209	2382
505	1212	2381
506	1214	2379
507	1217	2377
508	1219	2374
509	1222	2372
510	1224	2370
511	1227	2368
512	1229	2365
513	1232	2363
514	1234	2361
515	1237	2359
516	1239	2356
517	1241	2354
518	1244	2351
519	1246	2349
520	1248	2346
521	1251	2344
522	1253	2341
523	1255	2339
524	1257	2336
525	1260	2333
526	1262	2330
527	1264	2328
528	1267	2325
529	1269	2323
530	1271	2320
531	1273	2317
532	1276	2315
533	1278	2312
534	1280	2310
535	1283	2307
536	1285	2304
537	1287	2302
538	1289	2299
539	1292	2297
540	1294	2294
541	1296	2292
542	1299	2289
543	1301	2287
544	1303	2284
545	1305	2281
546	1308	2279
547	1310	2276
548	1312	2273
549	1315	2271
550	1317	2268
551	1319	2266
552	1321	2263
553	1323	2260
554	1326	2257
555	1328	2255
556	1330	2252
557	1332	2249
558	1335	2247
559	1337	2244
560	1339	2241
561	1341	2239
562	1344	2237
563	1346	2234
564	1348	2232
565	1351	2229
566	1353	2227
567	1355	2224
568	1358	2222
569	1360	2219
570	1362	2216
571	1364	2214
572	1367	2211
573	1369	2209
574	1371	2206
575	1373	2203
576	1376	2201
577	1378	2198
578	1380	2196
579	1382	2193
580	1385	2190
581	1387	2188
582	1389	2185
583	1391	2183
584	1394	2180
585	1396	2178
586	1398	2175
587	1400	2172
588	1403	2170
589	1405	2167
590	1407	2165
591	1410	2163
592	1412	2160
593	1414	2157
594	1417	2155
595	1419	2152
596	1421	2150
597	1424	2147
598	1426	2145
599	1428	2142
600	1430	2140
601	1432	2137
602	1435	2135
